127.0.0.1 - - [05/Oct/2017:14:30:44 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [05/Oct/2017:14:31:07 +0900] "GET /FlyPeanut/Template.jsp HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [05/Oct/2017:14:31:07 +0900] "GET /FlyPeanut/Template.jsp HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [05/Oct/2017:14:31:07 +0900] "GET /FlyPeanut/images/logo.jpg HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [05/Oct/2017:14:31:07 +0900] "GET /FlyPeanut/images/logo.jpg HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [05/Oct/2017:14:31:08 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [05/Oct/2017:14:31:08 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [05/Oct/2017:14:31:41 +0900] "GET /FlyPeanut/Template2.jsp HTTP/1.1" 200 1340
0:0:0:0:0:0:0:1 - - [05/Oct/2017:14:31:41 +0900] "GET /FlyPeanut/images/logo.jpg HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [05/Oct/2017:14:31:42 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [05/Oct/2017:14:33:09 +0900] "GET /FlyPeanut/Reservation.jsp HTTP/1.1" 200 7455
0:0:0:0:0:0:0:1 - - [05/Oct/2017:14:33:09 +0900] "GET /FlyPeanut/images/LOGO.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2017:14:33:09 +0900] "GET /FlyPeanut/css/MainStyle.css HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [05/Oct/2017:14:33:09 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [05/Oct/2017:14:33:23 +0900] "POST /FlyPeanut/AirController HTTP/1.1" 200 8074
